WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_LITHOLOGY,FORCE_2020_LITHOFACIES_CONFIDENCE
17/4-1,1147.5507926,515574.4375,6495507.0,-1120.550781,ROGALAND GP.,Lista Fm.,17.488378525,,0.861653924,0.6399027705,1.9960999489,48.321640015,,,,169.26797485,29.396102905,,1.1269491911,,,-0.246999994,,,,,65000,1.0
17/4-1,1147.7027926,515574.4375,6495507.0,-1120.702759,ROGALAND GP.,Lista Fm.,17.501502991,,0.8654439449,0.638746202,1.9960999489,48.412601471,,,,169.47561646,29.955928802,,1.1267943382,,,-0.246999994,,,,,65000,1.0
17/4-1,1147.8547926,515574.4375,6495507.0,-1120.854736,ROGALAND GP.,Lista Fm.,17.511804581,,0.8672535419,0.6385929585,1.9960999489,49.25069809,,,,169.75196838,30.208055496,,1.1266000271,,,-0.246284083,,,,,65000,1.0
17/4-1,1148.0067926,515574.4375,6495507.0,-1121.006836,ROGALAND GP.,Lista Fm.,17.492559433,,0.86703372,0.6384467483,1.9960999489,50.172512054,,,,169.68235779,30.110219955,,1.2291352749,,,-0.246000007,,,,,65000,1.0
17/4-1,1148.1587926,515574.4375,6495507.0,-1121.158813,ROGALAND GP.,Lista Fm.,17.466230392,,0.8649439216,0.6383469701,1.9960999489,50.554180145,,,,169.31799316,29.640964508,,1.3759928942,,,-0.246000007,,,,,65000,1.0
17/4-1,1148.3107926,515574.4375,6495507.0,-1121.310791,ROGALAND GP.,Lista Fm.,17.455394745,,0.8633000255,0.6382472515,1.9960999489,50.752944946,,,,168.404953,29.256175995,,1.3774892092,,,-0.245291665,,,,,65000,1.0
17/4-1,1148.4627926,515574.4375,6495507.0,-1121.462769,ROGALAND GP.,Lista Fm.,17.45076561,,0.8631424904,0.6380950212,1.9960999489,51.109352112,,,,167.59463501,28.894451141,,1.377274394,,,-0.245000005,,,,,65000,1.0
17/4-1,1148.6147926,515574.4375,6495507.0,-1121.614746,ROGALAND GP.,Lista Fm.,17.43911171,,0.8619553447,0.6379477978,1.9960999489,51.431865692,,,,167.48648071,28.578458786,,1.3770852089,,,-0.245000005,,,,,65000,1.0
17/4-1,1148.7667926,515574.4375,6495507.0,-1121.766846,ROGALAND GP.,Lista Fm.,17.425914764,,0.8606882095,0.6378480196,1.9960999489,51.838977814,,,,167.60479736,28.477582932,,1.0500501394,,,-0.244299784,,,,,65000,1.0
17/4-1,1148.9187926,515574.4375,6495507.0,-1121.918823,ROGALAND GP.,Lista Fm.,17.415920258,,0.8619510531,0.637748301,1.9960999489,52.67805481,,,,167.96968079,28.421445847,,0.7540178895,,,-0.244000003,,,,,65000,1.0
17/4-1,1149.0707926,515574.4375,6495507.0,-1122.070801,ROGALAND GP.,Lista Fm.,17.369703293,,0.8633485436,0.6375971437,1.9960485697,53.742202759,,,,168.92950439,28.702524185,,0.7191138268,,,-0.244000003,,,,,65000,1.0
17/4-1,1149.2227926,515574.4375,6495507.0,-1122.222778,ROGALAND GP.,Lista Fm.,17.319694519,,0.8626859784,0.6391885877,1.9960000515,54.489818573,,,,169.87374878,29.098897934,,0.715077281,,,-0.243307605,,,,,65000,1.0
17/4-1,1149.3747926,515574.4375,6495507.0,-1122.374756,ROGALAND GP.,Lista Fm.,17.338371277,,0.8612855077,0.6438034177,1.9960000515,54.62625885,,,,170.58843994,29.451339722,,0.7149252295,,,-0.243000001,,,,,65000,1.0
17/4-1,1149.5267926,515574.4375,6495507.0,-1122.526733,ROGALAND GP.,Lista Fm.,17.351709366,,0.8625761867,0.6496877074,1.9960000515,54.147445679,,,,171.12062073,29.498529434,,0.7147731781,,,-0.243000001,,,,,65000,1.0
17/4-1,1149.6787926,515574.4375,6495507.0,-1122.678833,ROGALAND GP.,Lista Fm.,17.266122818,,0.866866827,0.6561262012,1.995496273,53.412021637,,,,170.94880676,29.137678146,,0.7146211863,,,-0.243000001,,,,,65000,1.0
17/4-1,1149.8307926,515574.4375,6495507.0,-1122.830811,ROGALAND GP.,Lista Fm.,17.1054039,,0.8716053963,0.6658635736,1.9856798649,52.547496796,,,,169.75143433,28.931440353,,0.7144691944,,,-0.242318228,,,,,65000,1.0
17/4-1,1149.9827926,515574.4375,6495507.0,-1122.982788,ROGALAND GP.,Lista Fm.,17.03399086,,0.8758943677,0.6785297394,1.9698207378,51.372360229,,,,167.37574768,28.93419075,,1.6487973928,,,-0.084352098,,,,,65000,1.0
17/4-1,1150.1347926,515574.4375,6495507.0,-1123.134766,ROGALAND GP.,Vaale Fm.,17.109222412,,0.8815670013,0.6908501387,1.9680089951,49.649852753,,,,164.99273682,28.98154068,,1.8516304493,,,-0.009323281,,,,,65000,1.0
17/4-1,1150.2867926,515574.4375,6495507.0,-1123.286743,ROGALAND GP.,Vaale Fm.,17.203086853,,0.8896914721,0.6996107101,1.9768942595,47.348823547,,,,163.26705933,29.290042877,,1.8513263464,,,-0.011022608,,,,,65000,1.0
17/4-1,1150.4387926,515574.4375,6495507.0,-1123.438843,ROGALAND GP.,Vaale Fm.,17.314136505,,0.8984668255,0.7047579288,1.9849268198,45.667800903,,,,162.30128479,29.695074081,,1.8510223627,,,-0.013342817,,,,,65000,1.0
17/4-1,1150.5907926,515574.4375,6495507.0,-1123.59082,ROGALAND GP.,Vaale Fm.,17.44565773,,0.9087632298,0.709345758,1.993393898,45.240608215,,,,162.29486084,29.986604691,,1.850718379,,,-0.012662223,,,,,65000,1.0
17/4-1,1150.7427926,515574.4375,6495507.0,-1123.742798,ROGALAND GP.,Vaale Fm.,17.538763046,,0.9200409651,0.7139335275,2.0016415119,45.016475677,,,,162.647995,30.150327682,,1.8504716158,,,-0.006671212,,,,,65000,1.0
17/4-1,1150.8947926,515574.4375,6495507.0,-1123.894775,ROGALAND GP.,Vaale Fm.,17.59588623,,0.9290803075,0.7211772799,2.009894371,44.439361572,,,,162.66493225,29.978242874,,1.7055517435,,,0.0026357451,,,,,65000,1.0
17/4-1,1151.0467926,515574.4375,6495507.0,-1124.046753,ROGALAND GP.,Vaale Fm.,17.644248962,,0.9348610044,0.7334113121,2.0180575848,43.709461212,,,,162.2469635,29.516195297,,0.9519953728,,,0.0079823658,,,,,65000,1.0
17/4-1,1151.1987926,515574.4375,6495507.0,-1124.198853,ROGALAND GP.,Vaale Fm.,17.694023132,,0.9353851676,0.7480205297,2.0214178562,42.871471405,,,,161.4362793,29.186830521,,0.9105011225,,,0.0083417399,,,,,65000,1.0
17/4-1,1151.3507926,515574.4375,6495507.0,-1124.35083,ROGALAND GP.,Vaale Fm.,17.722974777,,0.9292682409,0.7626337409,2.0178179741,42.057506561,,,,160.35479736,28.987983704,,0.9101984501,,,0.0027561698,,,,,65000,1.0
17/4-1,1151.5027926,515574.4375,6495507.0,-1124.502808,ROGALAND GP.,Vaale Fm.,17.741275787,,0.922858119,0.7704888582,2.0144889355,41.315662384,,,,158.84933472,28.920734406,,0.9098944068,,,-0.002611785,,,,,65000,1.0
17/4-1,1151.6547926,515574.4375,6495507.0,-1124.654785,ROGALAND GP.,Vaale Fm.,17.769550323,,0.9213165045,0.7622471452,2.0185976028,40.522773743,,,,156.87287903,29.058246613,,0.9096451998,,,-0.000749155,,,,,65000,1.0
17/4-1,1151.8067926,515574.4375,6495507.0,-1124.806763,ROGALAND GP.,Vaale Fm.,17.815485001,,0.9239079356,0.7442478538,2.0254750252,39.944999695,,,,155.26100159,28.946250916,,0.9225863814,,,0.0029428967,,,,,65000,1.0
17/4-1,1151.9587926,515574.4375,6495507.0,-1124.95874,ROGALAND GP.,Vaale Fm.,17.90162468,,0.9272214174,0.7287035584,2.0295536518,39.656059265,,,,154.54072571,28.500864029,,0.9222824574,,,0.0027102819,,,,,65000,1.0
17/4-1,1152.1107926,515574.4375,6495507.0,-1125.11084,ROGALAND GP.,Vaale Fm.,18.006849289,,0.9302004576,0.7265166044,2.0294303894,39.536842346,,,,155.16188049,28.379528046,,0.9219892621,,,-0.00121159,,,,,65000,1.0
17/4-1,1152.2627926,515574.4375,6495507.0,-1125.262817,ROGALAND GP.,Vaale Fm.,18.06451416,,0.9341358542,0.7366273999,2.0231938362,39.391139984,,,,156.01405334,28.630235672,,0.917378962,,,-0.003,,,,,65000,1.0
17/4-1,1152.4147926,515574.4375,6495507.0,-1125.414795,ROGALAND GP.,Vaale Fm.,18.011060715,,0.9371677637,0.7462190986,2.0138437748,38.994941711,,,,156.3924408,28.959199905,,0.908185184,,,0.0001864732,,,,,65000,1.0
17/4-1,1152.5667926,515574.4375,6495507.0,-1125.566772,ROGALAND GP.,Vaale Fm.,17.860622406,,0.9381999969,0.7548143864,2.0039503574,38.940246582,,,,156.24171448,29.292009354,,0.9079663754,,,0.0013652524,,,,,65000,1.0
17/4-1,1152.7187926,515574.4375,6495507.0,-1125.71875,ROGALAND GP.,Vaale Fm.,17.75998497,,0.937206924,0.7594902515,1.9939373732,39.369132996,,,,156.0877533,29.44978714,,0.9076623917,,,-0.002159924,,,,,65000,1.0
17/4-1,1152.8707926,515574.4375,6495507.0,-1125.87085,ROGALAND GP.,Vaale Fm.,17.832487106,,0.9351921678,0.759644866,1.9916028976,39.525455475,,,,156.53791809,28.877422333,,0.9073584676,,,-0.004629434,,,,,65000,1.0
17/4-1,1153.0227926,515574.4375,6495507.0,-1126.022827,ROGALAND GP.,Vaale Fm.,18.044742584,,0.9322372079,0.7597446442,2.0024726391,39.243587494,,,,157.56884766,28.430532455,,0.9070772529,,,-0.0024933,,,,,65000,1.0
17/4-1,1153.1747926,515574.4375,6495507.0,-1126.174805,ROGALAND GP.,Vaale Fm.,18.219619751,,0.9263852239,0.7581591606,2.0158581734,38.9688797,,,,158.99526978,28.746652603,,0.9068503976,,,0.0008723582,,,,,65000,1.0
17/4-1,1153.3267926,515574.4375,6495507.0,-1126.326782,ROGALAND GP.,Vaale Fm.,18.190738678,,0.9195876122,0.7491798401,2.0203473568,38.892124176,,,,160.68811035,29.135549545,,0.9065463543,,,0.0013786349,,,,,65000,1.0
17/4-1,1153.4787926,515574.4375,6495507.0,-1126.47876,ROGALAND GP.,Vaale Fm.,17.992118835,,0.9133328199,0.7335208058,2.0201628208,38.726200104,,,,162.44526672,29.351392746,,0.9062424898,,,-0.000237611,,,,,65000,1.0
17/4-1,1153.6307926,515574.4375,6495507.0,-1126.630737,ROGALAND GP.,Vaale Fm.,17.819746017,,0.9059598446,0.7178632617,2.019759655,38.379890442,,,,163.56108093,29.324352264,,0.9154319763,,,-0.001616055,,,,,65000,1.0
17/4-1,1153.7827926,515574.4375,6495507.0,-1126.782837,ROGALAND GP.,Vaale Fm.,17.74994278,,0.8980804086,0.7032430172,2.0155537128,38.373710632,,,,164.22451782,29.251943588,,0.9189343452,,,-0.002613491,,,,,65000,1.0
17/4-1,1153.9347926,515574.4375,6495507.0,-1126.934814,ROGALAND GP.,Vaale Fm.,17.728618622,,0.8905029297,0.6911404729,2.005751133,39.097377777,,,,164.86837769,29.243776321,,0.9232230186,,,-0.005442982,,,,,65000,1.0
17/4-1,1154.0867926,515574.4375,6495507.0,-1127.086792,ROGALAND GP.,Vaale Fm.,17.752046585,,0.8821245432,0.6805252433,1.9921150208,39.984596252,,,,165.68478394,29.217422485,,0.9333490133,,,-0.008824531,,,,,65000,1.0
17/4-1,1154.2387926,515574.4375,6495507.0,-1127.23877,ROGALAND GP.,Vaale Fm.,17.800483704,,0.8741908669,0.6698967814,1.9799615145,40.231117249,,,,166.13032532,29.293148041,,0.9445224404,,,-0.01,,,,,65000,1.0
17/4-1,1154.3907926,515574.4375,6495507.0,-1127.390747,ROGALAND GP.,Vaale Fm.,17.829071045,,0.8698477745,0.6592784524,1.9735900164,39.749534607,,,,165.84474182,29.340324402,,0.9562938213,,,-0.009396818,,,,,65000,1.0
17/4-1,1154.5427926,515574.4375,6495507.0,-1127.542847,ROGALAND GP.,Vaale Fm.,17.829296112,,0.8662780523,0.6486482024,1.9712539911,39.184436798,,,,165.4360199,29.231645584,,0.9572144151,,,-0.007798787,,,,,65000,1.0
17/4-1,1154.6947926,515574.4375,6495507.0,-1127.694824,ROGALAND GP.,Vaale Fm.,17.829330444,,0.8633992672,0.6380352974,1.9679963589,39.708782196,,,,165.20980835,28.726409912,,0.9569103718,,,-0.007,,,,,65000,1.0
17/4-1,1154.8467926,515574.4375,6495507.0,-1127.846802,ROGALAND GP.,Vaale Fm.,17.849824905,,0.8625755906,0.627404511,1.9615558386,41.511920929,,,,165.86729431,28.428426743,,0.9480354786,,,-0.008785877,,,,,65000,1.0
17/4-1,1154.9987926,515574.4375,6495507.0,-1127.998779,ROGALAND GP.,Vaale Fm.,17.89812851,,0.8600106835,0.6169569492,1.9559993744,43.371746063,,,,167.44226074,28.699388504,,0.9431024194,,,-0.011185123,,,,,65000,1.0
17/4-1,1155.1507926,515574.4375,6495507.0,-1128.150757,ROGALAND GP.,Vaale Fm.,17.939847946,,0.8545122147,0.6066835523,1.9573976994,44.341125488,,,,168.73826599,29.077077866,,1.0376868248,,,-0.010230064,,,,,65000,1.0
17/4-1,1155.3027926,515574.4375,6495507.0,-1128.302734,ROGALAND GP.,Vaale Fm.,17.896806717,,0.8493855,0.596411705,1.9671795368,44.559455872,,,,168.8119812,29.191955566,,1.35341537,,,-0.005476492,,,,,65000,1.0
17/4-1,1155.4547926,515574.4375,6495507.0,-1128.454834,ROGALAND GP.,Vaale Fm.,17.759918213,,0.8440372944,0.5861382484,1.9753909111,45.00863266,,,,168.14009094,29.13495636,,1.3873339891,,,-0.001830672,,,,,65000,1.0
17/4-1,1155.6067926,515574.4375,6495507.0,-1128.606812,ROGALAND GP.,Vaale Fm.,17.635469437,,0.8380512595,0.5758262873,1.9765986204,45.966514587,,,,166.87640381,28.939344406,,1.3907898664,,,-0.001581942,,,,,65000,1.0
17/4-1,1155.7587926,515574.4375,6495507.0,-1128.758789,ROGALAND GP.,Vaale Fm.,17.684757233,,0.8329436779,0.565492928,1.9773955345,46.543605804,,,,165.04602051,28.866092682,,1.3781824112,,,-0.002,,,,,65000,1.0
17/4-1,1155.9107926,515574.4375,6495507.0,-1128.910767,ROGALAND GP.,Vaale Fm.,17.944723129,,0.8307644129,0.5552212,1.9842125177,46.459602356,,,,164.79290771,29.022148132,,1.3778891563,,,-0.001423368,,,,,65000,1.0
17/4-1,1156.0627926,515574.4375,6495507.0,-1129.062744,ROGALAND GP.,Vaale Fm.,18.193500519,,0.8264804482,0.5449476838,1.9918327332,46.695121765,,,,165.75134277,28.965841293,,1.3776744604,,,-0.002722108,,,,,65000,1.0
17/4-1,1156.2147926,515574.4375,6495507.0,-1129.214844,ROGALAND GP.,Vaale Fm.,18.312404633,,0.8185949326,0.5346758962,1.9913278818,47.518226624,,,,166.06507874,28.899908066,,1.3663320541,,,-0.00514356,,,,,65000,1.0
17/4-1,1156.3667926,515574.4375,6495507.0,-1129.366821,ROGALAND GP.,Vaale Fm.,18.392629623,,0.813601613,0.5273512006,1.9912480116,48.173679352,,,,166.36297607,29.10342598,,1.1868453026,,,-0.004861866,,,,,65000,1.0
17/4-1,1156.5187926,515574.4375,6495507.0,-1129.518799,ROGALAND GP.,Vaale Fm.,18.487361908,,0.8098950982,0.5273978114,1.9951189756,48.387203217,,,,166.67163086,29.374702454,,0.9657803178,,,-0.002867069,,,,,65000,1.0
17/4-1,1156.6707926,515574.4375,6495507.0,-1129.670776,ROGALAND GP.,Vaale Fm.,18.525993347,,0.8073084354,0.5317857265,1.9968998432,48.38205719,,,,165.82548523,29.461559296,,0.9400583506,,,-0.003691272,,,,,65000,1.0
17/4-1,1156.8227926,515574.4375,6495507.0,-1129.822754,ROGALAND GP.,Vaale Fm.,18.387535095,,0.8069619536,0.5362125039,1.9970521927,48.46188736,,,,165.42822266,29.521364212,,0.9397544265,,,-0.005,,,,,65000,1.0
17/4-1,1156.9747926,515574.4375,6495507.0,-1129.974854,ROGALAND GP.,Vaale Fm.,18.158214569,,0.8069000244,0.5406623483,2.0007002354,48.710338593,,,,165.92089844,29.508342743,,0.9394504428,,,-0.004441552,,,,,65000,1.0
17/4-1,1157.1267926,515574.4375,6495507.0,-1130.126831,ROGALAND GP.,Vaale Fm.,18.145233154,,0.8069000244,0.5460267663,2.0111408234,48.798725128,,,,166.21426392,29.362009048,,0.9391463995,,,-0.004555837,,,,,65000,1.0
17/4-1,1157.2787926,515574.4375,6495507.0,-1130.278809,ROGALAND GP.,Vaale Fm.,18.416744232,,0.8069000244,0.5530819297,2.0225896835,48.577468872,,,,166.4203186,29.159801483,,0.950976491,,,-0.004446862,,,,,65000,1.0
17/4-1,1157.4307926,515574.4375,6495507.0,-1130.430786,ROGALAND GP.,Vaale Fm.,18.644750595,,0.8069000244,0.5598936081,2.0312225819,48.186763763,,,,165.8081665,29.13277626,,0.9859140515,,,-0.004,,,,,65000,1.0
17/4-1,1157.5827926,515574.4375,6495507.0,-1130.582764,ROGALAND GP.,Vaale Fm.,18.654298782,,0.806863308,0.5639468431,2.0392842293,47.503696442,,,,164.84169006,29.238668442,,1.0044344664,,,-0.006191312,,,,,65000,1.0
17/4-1,1157.7347926,515574.4375,6495507.0,-1130.734741,ROGALAND GP.,Vaale Fm.,18.631153107,,0.8134362102,0.5642364621,2.0483920574,47.436271667,,,,163.74276733,29.206985474,,1.0042304993,,,-0.006364373,,,,,65000,1.0
17/4-1,1157.8867926,515574.4375,6495507.0,-1130.886841,ROGALAND GP.,Vaale Fm.,18.703491211,,0.8313325644,0.5643361807,2.0593061447,48.860813141,,,,163.21685791,29.132997513,,0.9924697876,,,-0.000117338,,,,,65000,1.0
17/4-1,1158.0387926,515574.4375,6495507.0,-1131.038818,ROGALAND GP.,Vaale Fm.,18.798776627,,0.8471711278,0.5644359589,2.0713915825,50.314914703,,,,163.24526978,29.134302139,,0.990422368,,,0.0045398949,,,,,65000,1.0
17/4-1,1158.1907926,515574.4375,6495507.0,-1131.190796,ROGALAND GP.,Vaale Fm.,18.836751938,,0.8563200831,0.564571321,2.0792574883,50.608371735,,,,163.30754089,29.026334763,,1.1102371216,,,0.0007023346,,,,,65000,1.0
17/4-1,1158.3427926,515574.4375,6495507.0,-1131.342773,ROGALAND GP.,Vaale Fm.,18.806940079,,0.8533394933,0.5647000074,2.0733003616,50.185829163,,,,164.26875305,29.005054474,,1.3249562979,,,-0.004603743,,,,,65000,1.0
17/4-1,1158.4947926,515574.4375,6495507.0,-1131.494751,ROGALAND GP.,Vaale Fm.,18.808200836,,0.8379294276,0.5632248521,2.0561213493,49.476531982,,,,165.37091064,28.978385925,,1.3204865456,,,-0.003338377,,,,,65000,1.0
17/4-1,1158.6467926,515574.4375,6495507.0,-1131.646851,ROGALAND GP.,Vaale Fm.,18.870880127,,0.8189512491,0.5583014488,2.0378768444,48.72562027,,,,166.36750793,29.034118652,,1.3166841269,,,0.0016482186,,,,,65000,1.0
17/4-1,1158.7987926,515574.4375,6495507.0,-1131.798828,ROGALAND GP.,Vaale Fm.,18.862892151,,0.8064174056,0.552052021,2.0247056484,48.340892792,,,,166.57196045,29.211101532,,1.3064771891,,,0.0040000002,,,,,65000,1.0
