WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO
25/5-3,1153.6751897,479085.1875,6605461.0,-1131.61792,HORDALAND GP.,Skade Fm.,,,,2.6366760731,,34.645740509,,,,,,17.5,,,,,,,,
25/5-3,1153.8271897,479085.1875,6605461.0,-1131.769897,HORDALAND GP.,Skade Fm.,12.343799591,,3.3522663116,2.6458683014,1.3191348314,35.572929382,,,,,,17.5,,,,-1.197690845,,,,
25/5-3,1153.9791897,479085.1875,6605461.0,-1131.921997,HORDALAND GP.,Skade Fm.,12.343799591,,3.2932052612,2.6581907272,1.2973451614,34.772930145,,,,,,17.5,,,,-1.169126511,,,,
25/5-3,1154.1311897,479085.1875,6605461.0,-1132.073975,HORDALAND GP.,Skade Fm.,12.343799591,,3.220553875,2.6624875069,1.315887332,33.39490509,,,,,,17.5,,,,-1.160215497,,,,
25/5-3,1154.2831897,479085.1875,6605461.0,-1132.225952,HORDALAND GP.,Skade Fm.,12.343799591,,3.2223551273,2.6550076008,1.3367996216,33.158496857,,,,,,17.5,,,,-1.167615175,,,,
25/5-3,1154.4351897,479085.1875,6605461.0,-1132.37793,HORDALAND GP.,Skade Fm.,12.343799591,,3.2753534317,2.6659228802,1.3526818752,34.063980103,,,146.39776611,,,17.5,,,,-1.162731409,,,,
25/5-3,1154.5871897,479085.1875,6605461.0,-1132.529907,HORDALAND GP.,Skade Fm.,12.343799591,,3.3284609318,2.7108280659,1.361649394,34.761894226,,,75.741744995,,,17.5,,,,-1.15783751,,,,
25/5-3,1154.7391897,479085.1875,6605461.0,-1132.681885,HORDALAND GP.,Skade Fm.,12.343799591,,3.3160533905,2.7705261707,1.3817715645,34.89207077,,,72.101661682,,,17.5,,,,-1.150905252,,,,
25/5-3,1154.8911897,479085.1875,6605461.0,-1132.833984,HORDALAND GP.,Skade Fm.,12.343799591,,3.152421236,2.8004996777,1.3913881779,34.642513275,,,143.95698547,,,17.5,,,,-1.151435137,,,,
25/5-3,1155.0431897,479085.1875,6605461.0,-1132.985962,HORDALAND GP.,Skade Fm.,12.343799591,,3.2628848553,2.7803895473,1.3824527264,34.899318695,,,273.4670105,,,17.5,,,,-1.157131314,,,,
25/5-3,1155.1951897,479085.1875,6605461.0,-1133.137939,HORDALAND GP.,Skade Fm.,12.343799591,,3.4500000477,2.7211813927,1.3613464832,35.546855927,,,176.90711975,,,17.5,,,,-1.171679974,,,,
25/5-3,1155.3471897,479085.1875,6605461.0,-1133.289917,HORDALAND GP.,Skade Fm.,12.343799591,,3.4848482609,2.6902084351,1.3814640045,35.99225235,,,138.18106079,,,17.5,,,,-1.167745948,,,,
25/5-3,1155.4991897,479085.1875,6605461.0,-1133.441895,HORDALAND GP.,Skade Fm.,12.343799591,,3.4159107208,2.7086040974,1.4107507467,35.951965332,,,112.39494324,,,17.5,,,,-1.160084724,,,,
25/5-3,1155.6511897,479085.1875,6605461.0,-1133.593994,HORDALAND GP.,Skade Fm.,12.343799591,,3.3492290974,2.7370269299,1.4113340378,35.181907654,,,,,,17.5,,,,-1.160924554,,,,
25/5-3,1155.8031897,479085.1875,6605461.0,-1133.745972,HORDALAND GP.,Skade Fm.,12.343799591,,3.3539779186,2.7497534752,1.3826034069,34.189041138,,,,,,17.5,,,,-1.17041719,,,,
25/5-3,1155.9551897,479085.1875,6605461.0,-1133.897949,HORDALAND GP.,Skade Fm.,12.343799591,,3.3084242344,2.7430696487,1.384986043,33.744380951,,,61.153213501,,,17.5,,,,-1.165950775,,,,
25/5-3,1156.1071897,479085.1875,6605461.0,-1134.049805,HORDALAND GP.,Skade Fm.,12.343799591,,3.2439024448,2.7335546017,1.4154672623,34.360870361,,,60.42098999,,,17.5,,,,-1.158913851,,,,
25/5-3,1156.2591897,479085.1875,6605461.0,-1134.201782,HORDALAND GP.,Skade Fm.,12.343799591,,3.190125227,2.730317831,1.4551124573,35.493118286,,,64.649978638,,,17.5,,,,-1.149009943,,,,
25/5-3,1156.4111897,479085.1875,6605461.0,-1134.35376,HORDALAND GP.,Skade Fm.,12.343799591,,3.1344761848,2.730340004,1.4482761621,36.280677795,,,113.4106369,,,17.5,,,,-1.148635268,,,,
