WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_LITHOLOGY,FORCE_2020_LITHOFACIES_CONFIDENCE
31/2-21 S,1999.9284,525330.8125,6759815.0,-1921.228271,ROGALAND GP.,Vaale Fm.,12.446494102,,1.7946513891,1.8244899511,,53.532814026,,0.3342245221,,105.54925537,,12.250000954,12.68458271,,,0.093456693,,,13.691415787,,70000,1.0
31/2-21 S,2000.0804,525330.75,6759815.0,-1921.359497,ROGALAND GP.,Vaale Fm.,12.148028374,,1.8539962769,1.9082984924,,44.32988739,,0.3229895234,,103.99212646,,12.250000954,10.646811485,,,0.1092943549,,,13.502613068,,70000,1.0
31/2-21 S,2000.2324,525330.6875,6759815.0,-1921.490723,ROGALAND GP.,Vaale Fm.,12.027576447,,1.8664188385,1.9541170597,,34.112159729,,0.2577524483,,91.609130859,,12.250000954,9.6778688431,,,0.1334487349,,,12.933292389,,70000,1.0
31/2-21 S,2000.3844,525330.625,6759815.5,-1921.621948,ROGALAND GP.,Vaale Fm.,11.981487274,,1.9199800491,2.01907897,,31.661252975,,0.2010491043,,80.371116638,,12.250000954,9.38484478,,,0.1470630169,,,12.323787689,,70000,1.0
31/2-21 S,2000.5364,525330.5625,6759815.5,-1921.753174,ROGALAND GP.,Vaale Fm.,11.972757339,,2.0402479172,2.1127393246,,33.186008453,,0.1956418753,,72.60749054,,12.250000954,9.7960109711,,,0.1522807926,,,11.714455605,,70000,1.0
31/2-21 S,2000.6884,525330.5,6759815.5,-1921.884399,ROGALAND GP.,Vaale Fm.,11.962290764,,2.2010147572,2.2021057606,,34.737228394,,0.1903681904,,73.302154541,,12.250000954,10.749556541,,,0.1509585083,,,11.10559845,,70000,1.0
31/2-21 S,2000.8404,525330.4375,6759815.5,-1922.015625,ROGALAND GP.,Vaale Fm.,11.960288048,,2.3336145878,2.2261965275,,40.396976471,,0.1834879965,,84.6640625,,12.250000954,11.537768364,,,0.1463302672,,,10.496013641,,70000,1.0
31/2-21 S,2000.9924,525330.375,6759815.5,-1922.146851,ROGALAND GP.,Vaale Fm.,11.949391365,,2.1224029064,1.9821380377,,51.308204651,,0.1985353827,,101.14434814,,12.250000954,11.592795372,,,0.1497964561,,,10.012247086,,70000,1.0
31/2-21 S,2001.1444,525330.3125,6759815.5,-1922.277954,ROGALAND GP.,Vaale Fm.,11.960916519,,1.6199241877,1.606263876,,67.964118958,,0.2148721218,,109.50908661,,12.250000954,13.448096275,,,0.1550037563,,,11.014268875,,70000,1.0
31/2-21 S,2001.2964,525330.3125,6759815.5,-1922.409302,ROGALAND GP.,Vaale Fm.,12.11345768,,1.3590263128,1.4138706923,,86.441101074,,0.2496282905,,111.98361969,,12.250000954,17.530235291,,,0.1474703997,,,12.232172966,,70000,1.0
31/2-21 S,2001.4484,525330.25,6759815.5,-1922.540527,ROGALAND GP.,Vaale Fm.,12.387928009,,1.3145055771,1.372761488,,102.58202362,,0.3111953437,,112.77005768,,12.250000954,19.780698776,,,0.1194369271,,,13.451251984,,80000,1.0
31/2-21 S,2001.6004,525330.1875,6759815.5,-1922.671631,ROGALAND GP.,Vaale Fm.,12.456284523,,1.2506275177,1.3133932352,,106.6411972,,0.3735297918,,113.48049164,,12.250000954,20.995819092,,,0.0951396525,,,14.66907692,,80000,1.0
31/2-21 S,2001.7524,525330.125,6759815.5,-1922.802856,ROGALAND GP.,Vaale Fm.,12.63161087,,1.1903800964,1.2611072063,,106.25296783,,0.4140026569,,114.18598175,,12.250000954,21.583189011,,,0.0847727656,,,15.888134003,,80000,1.0
31/2-21 S,2001.9044,525330.0625,6759816.0,-1922.934082,ROGALAND GP.,Vaale Fm.,12.340330124,,1.2449127436,1.306201458,,107.18600464,,0.4405856133,,114.36115265,,12.250000954,22.607940674,,,0.0796635076,,,17.106056213,,80000,1.0
31/2-21 S,2002.0564,525330.0,6759816.0,-1923.065308,ROGALAND GP.,Vaale Fm.,12.394283295,,1.2747012377,1.2943480015,,105.31876373,,0.4598750472,,115.20611572,,12.250000954,25.274587631,,,0.0847176984,,,18.059484482,,80000,1.0
31/2-21 S,2002.2084,525329.9375,6759816.0,-1923.196533,ROGALAND GP.,Vaale Fm.,11.951430321,,1.210304141,1.2140893936,,101.33672333,,0.4383034408,,115.70756531,,12.250000954,27.608545303,,,0.102113694,,,18.719678879,,80000,1.0
31/2-21 S,2002.3604,525329.875,6759816.0,-1923.327759,ROGALAND GP.,Vaale Fm.,11.739612579,,1.1749931574,1.173207283,,104.79412079,,0.4285817742,,115.26565552,,12.250000954,24.125911713,,,0.1094099879,,,19.337839127,,80000,1.0
31/2-21 S,2002.5124,525329.8125,6759816.0,-1923.458984,ROGALAND GP.,Vaale Fm.,11.928836823,,1.1824629307,1.1823294163,,105.3041687,,0.4106312692,,115.3282547,,12.250000954,15.239233971,,,0.1008189395,,,19.955690384,,80000,1.0
31/2-21 S,2002.6644,525329.75,6759816.0,-1923.59021,ROGALAND GP.,Vaale Fm.,11.841892242,,1.228929162,1.2161663771,,104.54258728,,0.4154986143,,116.08410645,,12.250000954,7.2130436897,,,0.079800792,,,20.573205948,,80000,1.0
31/2-21 S,2002.8164,525329.6875,6759816.0,-1923.721313,ROGALAND GP.,Vaale Fm.,11.833936691,,1.1510334015,1.1437277794,,105.23606873,,0.4168321788,,117.12591553,,12.250000954,5.4615240097,,,0.0843463615,,,21.191356659,,80000,1.0
31/2-21 S,2002.9684,525329.625,6759816.0,-1923.852661,ROGALAND GP.,Vaale Fm.,11.852310181,,1.1518514156,1.1174945831,,104.30184174,,0.4167163372,,116.78041077,,12.250000954,9.3835029602,,,0.0941069722,,,21.808956146,,80000,1.0
31/2-21 S,2003.1204,525329.5625,6759816.0,-1923.983887,ROGALAND GP.,Vaale Fm.,11.707589149,,1.0903576612,1.0712373257,,104.35702515,,0.4203683734,,114.71999359,,12.250000954,11.80947876,,,0.090275608,,,20.840902328,,80000,1.0
31/2-21 S,2003.2724,525329.5,6759816.0,-1924.11499,ROGALAND GP.,Vaale Fm.,11.899897575,,1.0271559954,1.0376192331,,102.90281677,,0.4049721658,,108.31508636,,12.250000954,14.337863922,,,0.0923621058,,,19.490730286,,80000,1.0
31/2-21 S,2003.4244,525329.4375,6759816.5,-1924.246216,ROGALAND GP.,Vaale Fm.,12.297513008,,1.0469344854,1.0764652491,,90.534584045,,0.3893566728,,94.800628662,,12.250000954,14.834666252,141.83111572,,0.097394824,,,18.124628067,,80000,1.0
31/2-21 S,2003.5764,525329.375,6759816.5,-1924.377441,ROGALAND GP.,Vaale Fm.,12.258248329,,1.2195384502,1.2608680725,,80.677780151,,0.3757313788,,83.672988892,,12.250000954,13.219701767,141.75289917,,0.0980519503,,,16.759710312,,80000,1.0
31/2-21 S,2003.7284,525329.3125,6759816.5,-1924.508667,ROGALAND GP.,Vaale Fm.,11.871870995,,1.516318202,1.5488075018,,60.397994995,,0.3359189034,,77.53843689,,12.250000954,11.925089836,141.55337524,,0.0806156769,,,15.393619537,,70000,1.0
31/2-21 S,2003.8804,525329.25,6759816.5,-1924.639893,ROGALAND GP.,Vaale Fm.,11.691202164,,1.8286092281,1.8500190973,,44.085121155,,0.2650549412,,75.379249573,,12.250000954,11.639938354,141.12820435,,0.0747640878,,,14.028611183,,70000,1.0
31/2-21 S,2004.0324,525329.1875,6759816.5,-1924.771118,SHETLAND GP.,Jorsalfare Fm.,11.463088036,,2.2641029358,2.2259280682,,34.87399292,,0.2129773051,,74.692848206,,12.250000954,12.590647697,140.38108826,,0.0785600841,,,12.984221458,,70000,1.0
31/2-21 S,2004.1844,525329.125,6759816.5,-1924.902344,SHETLAND GP.,Jorsalfare Fm.,11.508803368,,2.7459459305,2.604840517,,34.46113205,,0.1836834103,,74.188087463,,12.250000954,12.625613213,139.43275452,,0.0829286128,,,12.50510025,,70000,1.0
31/2-21 S,2004.3364,525329.125,6759816.5,-1925.033569,SHETLAND GP.,Jorsalfare Fm.,11.507324219,,3.048750639,2.8534908295,,31.591093063,,0.1579191238,,73.768669128,,12.250000954,11.507201195,138.59831238,,0.0894789323,,,12.13493824,,70000,1.0
31/2-21 S,2004.4884,525329.0625,6759816.5,-1925.164673,SHETLAND GP.,Jorsalfare Fm.,11.537579536,,3.4592993259,3.1838746071,,28.594276428,,0.1445031166,,73.296676636,,12.250000954,10.186490059,138.1812439,,0.0897456706,,,11.764866829,,70000,1.0
31/2-21 S,2004.6404,525329.0,6759816.5,-1925.296021,SHETLAND GP.,Jorsalfare Fm.,11.633939743,,3.8359966278,3.5408666134,,28.5754776,,0.1403167248,,73.025634766,,12.250000954,9.3710126877,138.06593323,,0.0899043158,,,11.39511776,,70000,1.0
31/2-21 S,2004.7924,525328.9375,6759816.5,-1925.427246,SHETLAND GP.,Jorsalfare Fm.,11.622168541,,4.0624761581,3.8340339661,,30.039022446,,0.1336765438,,72.659744263,,12.250000954,9.6759214401,138.02680969,,0.1011188999,,,11.024961472,,70000,1.0
31/2-21 S,2004.9444,525328.875,6759817.0,-1925.55835,SHETLAND GP.,Jorsalfare Fm.,11.762429237,,4.2313389778,4.044924736,,35.043140411,,0.1289867759,,72.357574463,,12.250000954,10.203954697,137.59111023,,0.0981768668,,,10.655083656,,70000,1.0
31/2-21 S,2005.0964,525328.8125,6759817.0,-1925.689575,SHETLAND GP.,Jorsalfare Fm.,11.783812523,,4.2850108147,4.262591362,,29.150098801,,0.1271594763,,72.355926514,,12.250000954,9.9663562775,137.77926636,,0.1040036678,,,10.429739952,,70000,1.0
31/2-21 S,2005.2484,525328.75,6759817.0,-1925.820801,SHETLAND GP.,Jorsalfare Fm.,11.796937943,,4.3425087929,4.4488639832,,29.829471588,,0.1294535697,,73.76121521,,12.250000954,9.9691820145,139.065979,,0.1077949777,,,10.269242287,,70000,1.0
31/2-21 S,2005.4004,525328.6875,6759817.0,-1925.952026,SHETLAND GP.,Jorsalfare Fm.,11.892398834,,4.5711712837,4.6948442459,,26.643167496,,0.1321672499,,79.009490967,,12.250000954,10.699193001,140.7829895,,0.1151378378,,,10.115885735,,70000,1.0
31/2-21 S,2005.5524,525328.625,6759817.0,-1926.083252,SHETLAND GP.,Jorsalfare Fm.,12.012606621,,4.6230535507,4.8340539932,,26.913251877,,0.1294500232,,80.701225281,,12.250000954,10.472982407,139.86573792,,0.1185646206,,,9.9626493454,,70000,1.0
31/2-21 S,2005.7044,525328.5625,6759817.0,-1926.214355,SHETLAND GP.,Jorsalfare Fm.,12.111113548,,4.7449116707,4.941754818,,27.989076614,,0.1204651892,,78.828170776,,12.250000954,9.1350469589,137.47584534,,0.1243705526,,,9.8092927933,,70000,1.0
31/2-21 S,2005.8564,525328.5,6759817.0,-1926.345703,SHETLAND GP.,Jorsalfare Fm.,12.144378662,,4.788544178,5.031504631,,28.779157639,,0.1198747307,,75.542205811,,12.250000954,7.6989264488,134.83033752,,0.1185562611,,,9.6560544968,,70000,1.0
31/2-21 S,2006.0084,525328.4375,6759817.0,-1926.476929,SHETLAND GP.,Jorsalfare Fm.,12.16097641,,4.7591533661,5.1312513351,,28.891593933,,0.107188724,,72.643165588,,9.3058509827,6.6609611511,133.30717468,,0.1192693561,,,9.5107889175,,70000,1.0
31/2-21 S,2006.1604,525328.375,6759817.0,-1926.608032,SHETLAND GP.,Jorsalfare Fm.,12.00242424,,115.11981201,68.75453186,,27.035547256,,0.1670383066,,70.737251282,,8.5,6.9056024551,132.22633362,,0.125162676,,,9.3896446228,,70000,1.0
31/2-21 S,2006.3124,525328.3125,6759817.0,-1926.73938,SHETLAND GP.,Jorsalfare Fm.,11.015311241,,679.88372803,446.20166016,,24.615573883,,0.1978784949,,70.167663574,,8.5,22.575622559,131.48933411,,0.1338520795,,,9.2744836807,,70000,1.0
31/2-21 S,2006.4644,525328.25,6759817.0,-1926.870605,SHETLAND GP.,Jorsalfare Fm.,9.1978816986,,357.82919312,188.37643433,,20.189735413,,0.1589474529,,70.13873291,,8.5,101.31175232,131.02365112,,0.111582607,,,9.1592922211,,70000,1.0
31/2-21 S,2006.6164,525328.1875,6759817.5,-1927.001709,SHETLAND GP.,Jorsalfare Fm.,8.7246742249,,56.241546631,24.415216446,,17.707475662,,0.1216843501,,70.082847595,,8.5,136.70458984,130.91415405,,0.0800490379,,,9.0441532135,,70000,1.0
31/2-21 S,2006.7684,525328.125,6759817.5,-1927.132935,SHETLAND GP.,Jorsalfare Fm.,8.697309494,,6.2002124786,5.9560489655,2.5210797787,17.730840683,,0.1084586531,5.2865858078,70.086959839,,8.5,34.552341461,131.12731934,,0.0735944435,,,8.9289159775,,70000,1.0
